table,category,shortDesc,description
ethnicGroupDetailed,170,W170,White: Georgian
ethnicGroupDetailed,171,W171,White: German
ethnicGroupDetailed,172,W172,White: Greek
ethnicGroupDetailed,173,W173,White: Greek Cypriot
ethnicGroupDetailed,174,W174,White: Gypsy or Irish Traveller
ethnicGroupDetailed,175,W175,White: Hispanic or Latin American
ethnicGroupDetailed,176,W176,White: Hungarian
ethnicGroupDetailed,177,W177,White: Iranian
ethnicGroupDetailed,178,W178,White: Irish
ethnicGroupDetailed,179,W179,White: Israeli
ethnicGroupDetailed,180,W180,White: Italian
ethnicGroupDetailed,181,W181,White: Jewish
ethnicGroupDetailed,182,W182,White: Kosovan
ethnicGroupDetailed,183,W183,White: Kurdish
ethnicGroupDetailed,184,W184,White: Latvian
ethnicGroupDetailed,185,W185,White: Lithuanian
ethnicGroupDetailed,186,W186,White: Maltese
ethnicGroupDetailed,187,W187,White: Mixed Irish
ethnicGroupDetailed,188,W188,White: Mixed White
ethnicGroupDetailed,189,W189,White: Moldovan
ethnicGroupDetailed,190,W190,White: North American
ethnicGroupDetailed,191,W191,White: North Macedonian
ethnicGroupDetailed,192,W192,White: Norwegian
ethnicGroupDetailed,193,W193,White: Other Eastern European
ethnicGroupDetailed,194,W194,White: Other Middle East
ethnicGroupDetailed,195,W195,White: Other Mixed
ethnicGroupDetailed,196,W196,White: Other North African
ethnicGroupDetailed,197,W197,White: Other Traveller
ethnicGroupDetailed,198,W198,White: Other White White unspecified
ethnicGroupDetailed,199,W199,White: Polish
ethnicGroupDetailed,200,W200,White: Portuguese
ethnicGroupDetailed,201,W201,White: Roma
ethnicGroupDetailed,202,W202,White: Romanian
ethnicGroupDetailed,203,W203,White: Russian
ethnicGroupDetailed,204,W204,White: Serbian
ethnicGroupDetailed,205,W205,White: Slovakian
ethnicGroupDetailed,206,W206,White: Slovenian
ethnicGroupDetailed,207,W207,White: South African
ethnicGroupDetailed,208,W208,White: South American
ethnicGroupDetailed,209,W209,White: Spanish
ethnicGroupDetailed,210,W210,White: Swedish
ethnicGroupDetailed,211,W211,White: Swiss
ethnicGroupDetailed,212,W212,White: Turkish
ethnicGroupDetailed,213,W213,White: Turkish Cypriot
ethnicGroupDetailed,214,W214,White: Ukrainian
ethnicGroupDetailed,215,W215,White: White African
ethnicGroupDetailed,216,W216,White: White and North African or Middle Eastern
ethnicGroupDetailed,217,W217,White: White Caribbean
ethnicGroupDetailed,218,W218,White: Zimbabwean
ethnicGroupDetailed,219,W219,White: Any other ethnic group
ethnicGroupDetailed,220,O220,Other ethnic group: Afghan
ethnicGroupDetailed,221,O221,Other ethnic group: African unspecified
ethnicGroupDetailed,222,O222,Other ethnic group: African Asian
ethnicGroupDetailed,223,O223,Other ethnic group: Albanian
ethnicGroupDetailed,224,O224,Other ethnic group: Algerian
ethnicGroupDetailed,225,O225,Other ethnic group: Arab
ethnicGroupDetailed,226,O226,Other ethnic group: Armenian
ethnicGroupDetailed,227,O227,Other ethnic group: Asian British
ethnicGroupDetailed,228,O228,Other ethnic group: Bangladeshi British Bangladeshi
ethnicGroupDetailed,229,O229,Other ethnic group: Black and Asian
ethnicGroupDetailed,230,O230,Other ethnic group: Brazilian
ethnicGroupDetailed,231,O231,Other ethnic group: Bulgarian
ethnicGroupDetailed,232,O232,Other ethnic group: Caribbean
ethnicGroupDetailed,233,O233,Other ethnic group: Caribbean Asian
ethnicGroupDetailed,234,O234,Other ethnic group: Chinese
ethnicGroupDetailed,235,O235,Other ethnic group: Colombian
ethnicGroupDetailed,236,O236,Other ethnic group: Cornish
ethnicGroupDetailed,237,O237,Other ethnic group: Cypriot (part not stated)
ethnicGroupDetailed,238,O238,Other ethnic group: Czech
ethnicGroupDetailed,239,O239,Other ethnic group: East Asian/ East Asian unspecified
ethnicGroupDetailed,240,O240,Other ethnic group: English
ethnicGroupDetailed,241,O241,Other ethnic group: English/Welsh/Scottish/Northern Irish/British
ethnicGroupDetailed,242,O242,Other ethnic group: European Mixed European unspecified other European
ethnicGroupDetailed,243,O243,Other ethnic group: Filipino
ethnicGroupDetailed,244,O244,Other ethnic group: Greek
ethnicGroupDetailed,245,O245,Other ethnic group: Greek Cypriot
ethnicGroupDetailed,246,O246,Other ethnic group: Gypsy/Romany
ethnicGroupDetailed,247,O247,Other ethnic group: Hispanic or Latin American
ethnicGroupDetailed,248,O248,Other ethnic group: Indian or British Indian
ethnicGroupDetailed,249,O249,Other ethnic group: Iranian
ethnicGroupDetailed,250,O250,Other ethnic group: Italian
ethnicGroupDetailed,251,O251,Other ethnic group: Japanese
ethnicGroupDetailed,252,O252,Other ethnic group: Jewish
ethnicGroupDetailed,253,O253,Other ethnic group: Kashmiri
ethnicGroupDetailed,254,O254,Other ethnic group: Kurdish
ethnicGroupDetailed,255,O255,Other ethnic group: Lithuanian
ethnicGroupDetailed,256,O256,Other ethnic group: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian
ethnicGroupDetailed,257,O257,Other ethnic group: Mexican
ethnicGroupDetailed,258,O258,Other ethnic group: Moroccan
ethnicGroupDetailed,259,O259,Other ethnic group: Muslim
ethnicGroupDetailed,260,O260,Other ethnic group: Nepali (includes Gurkha)
ethnicGroupDetailed,261,O261,Other ethnic group: North African
ethnicGroupDetailed,262,O262,Other ethnic group: Other Asian Asian unspecified
ethnicGroupDetailed,263,O263,Other ethnic group: Other Eastern European
ethnicGroupDetailed,264,O264,Other ethnic group: Other Middle East
ethnicGroupDetailed,265,O265,Other ethnic group: Other Mixed
ethnicGroupDetailed,266,O266,Other ethnic group: Other White White unspecified
ethnicGroupDetailed,267,O267,Other ethnic group: Pakistani or British Pakistani
ethnicGroupDetailed,268,O268,Other ethnic group: Polish
ethnicGroupDetailed,269,O269,Other ethnic group: Polynesia/Micronesia/Melanesia
ethnicGroupDetailed,270,O270,Other ethnic group: Portuguese
ethnicGroupDetailed,271,O271,Other ethnic group: Punjabi
ethnicGroupDetailed,272,O272,Other ethnic group: Roma
ethnicGroupDetailed,273,O273,Other ethnic group: Romanian
ethnicGroupDetailed,274,O274,Other ethnic group: Sikh
ethnicGroupDetailed,275,O275,Other ethnic group: Slovakian
ethnicGroupDetailed,276,O276,Other ethnic group: Somali
ethnicGroupDetailed,277,O277,Other ethnic group: Somalilander
ethnicGroupDetailed,278,O278,Other ethnic group: South American
ethnicGroupDetailed,279,O279,Other ethnic group: Spanish
ethnicGroupDetailed,280,O280,Other ethnic group: Sri Lankan
ethnicGroupDetailed,281,O281,Other ethnic group: Tamil
ethnicGroupDetailed,282,O282,Other ethnic group: Thai
ethnicGroupDetailed,283,O283,Other ethnic group: Turkish
ethnicGroupDetailed,284,O284,Other ethnic group: Turkish Cypriot
ethnicGroupDetailed,285,O285,Other ethnic group: Vietnamese
ethnicGroupDetailed,286,O286,Other ethnic group: White African
ethnicGroupDetailed,287,O287,Other ethnic group: Any other ethnic group
ethnicDiversity,-8,N/A,Does not apply
ethnicDiversity,1,single,One-person household
ethnicDiversity,2,all,All household members have the same ethnic group
ethnicDiversity,3,genDiff,Ethnic groups differ between generations but not within partnerships
ethnicDiversity,4,partnerDiff,Ethnic groups differ within partnerships
ethnicDiversity,5,otherDiff,Any other combination of multiple ethnic identities
mainLanguage,-8,N/A,Does not apply
mainLanguage,1,English,English (English or Welsh in Wales)
mainLanguage,2,Welsh,Welsh or Cymraeg (in England only)
mainLanguage,3,IrishGaelic,Other UK language: Gaelic (Irish)
mainLanguage,4,ScottishGaelic,Other UK language: Gaelic (Scottish)
mainLanguage,5,ManxGaelic,Other UK language: Manx Gaelic
mainLanguage,6,Gaelic,Other UK language: Gaelic (Not otherwise specified)
mainLanguage,7,Cornish,Other UK language: Cornish
mainLanguage,8,Scots,Other UK language: Scots
mainLanguage,9,UlsterScots,Other UK language: Ulster Scots
mainLanguage,10,RomanyEnghlish,Other UK language: Romany English
mainLanguage,11,IrishTraveller,Other UK language: Irish Traveller Cant
mainLanguage,12,French,French
mainLanguage,13,Portuguese,Portuguese
mainLanguage,14,Spanish,Spanish
mainLanguage,15,Italian,Other European language (EU): Italian
mainLanguage,16,German,Other European language (EU): German
mainLanguage,17,Polish,Other European language (EU): Polish
mainLanguage,18,Slovak,Other European language (EU): Slovak
mainLanguage,19,Czech,Other European language (EU): Czech
mainLanguage,20,Romanian,Other European language (EU): Romanian
mainLanguage,21,Lithuanian,Other European language (EU): Lithuanian
mainLanguage,22,Latvian,Other European language (EU): Latvian
mainLanguage,23,Hungarian,Other European language (EU): Hungarian
mainLanguage,24,Bulgarian,Other European language (EU): Bulgarian
mainLanguage,25,Greek,Other European language (EU): Greek
mainLanguage,26,Dutch,Other European language (EU): Dutch
mainLanguage,27,Swedish,Other European language (EU): Swedish
mainLanguage,28,Danish,Other European language (EU): Danish
mainLanguage,29,Finnish,Other European language (EU): Finnish
mainLanguage,30,Estonian,Other European language (EU): Estonian
mainLanguage,31,3Slovenian1,Other European language (EU): Slovenian
mainLanguage,32,3Maltese2,Other European language (EU): Maltese
mainLanguage,33,otherEU,Other European language (EU): Any other European language (EU)
mainLanguage,34,Albanian,Other European language (non EU): Albanian
mainLanguage,35,Ukrainian,Other European language (non EU): Ukrainian
mainLanguage,36,otherEEuropean,Other European language (non EU): Any other Eastern European language (non EU)
mainLanguage,37,otherNEuropean,Other European language (non EU): Northern European language (non EU)
mainLanguage,38,BosCroatSerbMont,Other European language (EU and non-EU): Bosnian Croatian Serbian and Montenegrin
mainLanguage,39,Romani,Other European language (non-national): Any Romani language
mainLanguage,40,Yiddish,Other European language (non-national): Yiddish
mainLanguage,41,Russian,Russian
mainLanguage,42,Turkish,Turkish
mainLanguage,43,Arabic,Arabic
mainLanguage,44,Hebrew,West or Central Asian language: Hebrew
mainLanguage,45,Kurdish,West or Central Asian language: Kurdish
mainLanguage,46,Farsi,West or Central Asian language: Persian or Farsi
mainLanguage,47,Pashto,West or Central Asian language: Pashto
mainLanguage,48,otherWCAsian,West or Central Asian language: Any other West or Central Asian language
mainLanguage,49,Urdu,South Asian language: Urdu
mainLanguage,50,Hindi,South Asian language: Hindi
mainLanguage,51,Panjabi,South Asian language: Panjabi
mainLanguage,52,Pahari,South Asian language: Pakistani Pahari (with Mirpuri and Potwari)
mainLanguage,53,Bengali,South Asian language: Bengali (with Sylheti and Chatgaya)
mainLanguage,54,Gujarati,South Asian language: Gujarati
mainLanguage,55,Marathi,South Asian language: Marathi
mainLanguage,56,Telugu,South Asian language: Telugu
mainLanguage,57,Tamil,South Asian language: Tamil
mainLanguage,58,Malayalam,South Asian language: Malayalam
mainLanguage,59,Sinhala,South Asian language: Sinhala
mainLanguage,60,Nepalese,South Asian language: Nepalese
mainLanguage,61,otherSAsian,South Asian language: Any other South Asian language
mainLanguage,62,Mandarin,East Asian language: Mandarin Chinese
mainLanguage,63,Cantonese,East Asian language: Cantonese Chinese
mainLanguage,64,otherChinese,East Asian language: All other Chinese
mainLanguage,65,Japanese,East Asian language: Japanese
mainLanguage,66,Korean,East Asian language: Korean
mainLanguage,67,Vietnamese,East Asian language: Vietnamese
mainLanguage,68,Thai,East Asian language: Thai
mainLanguage,69,Malay,East Asian language: Malay
mainLanguage,70,Tagalog,East Asian language: Tagalog or Filipino
mainLanguage,71,otherEAsian,East Asian language: Any other East Asian language
mainLanguage,72,Oceanic,Oceanic or Australian language
mainLanguage,73,NSAmerican,North or South American language
mainLanguage,74,EnglishCreole,Caribbean Creole: English-based Caribbean Creole
mainLanguage,75,otherCreole,Caribbean Creole: Any other Caribbean Creole
mainLanguage,76,Amharic,African language: Amharic
mainLanguage,77,Tigrinya,African language: Tigrinya
mainLanguage,78,Somali,African language: Somali
mainLanguage,79,Krio,African language: Krio
mainLanguage,80,Akan,African language: Akan
mainLanguage,81,Yoruba,African language: Yoruba
mainLanguage,82,Igbo,African language: Igbo
mainLanguage,83,Swahili,African language: Swahili or Kiswahili
mainLanguage,84,Luganda,African language: Luganda
mainLanguage,85,Lingala,African language: Lingala
mainLanguage,86,Shona,African language: Shona
mainLanguage,87,Afrikaans,African language: Afrikaans
mainLanguage,88,otherNigerian,African language: Any other Nigerian language
mainLanguage,89,otherWAfrican,African language: Any other West African language
mainLanguage,90,otherAfrican,African language: Any other African language
mainLanguage,91,BSL,Sign language: British Sign Language
mainLanguage,92,otherSignLang,Sign language: Any other sign language
mainLanguage,93,otherSignComm,Sign language: Any sign communication system
mainLanguage,94,other,Other language
householdLanguage,-8,N/A,Does not apply
householdLanguage,1,all,"All adults in household have English in England, or English or Welsh in Wales as a main language"
householdLanguage,2,adult1plus,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language"
householdLanguage,3,child1plus,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language"
householdLanguage,4,none,"No people in household have English in England, or English or Welsh in Wales as a main language"
languageDiversity,-8,N/A,Does not apply
languageDiversity,1,single,One-person household
languageDiversity,2,all,All household members have the same main language
languageDiversity,3,genDiff,"Main language differs between generations, but not within partnerships"
languageDiversity,4,partnerDiff,Main language differs within partnerships
languageDiversity,5,otherDiff,Any other combination of multiple main languages
ukLanguage,-8,N/A,Does not apply
ukLanguage,1,main,Main language is English (English or Welsh in Wales)
ukLanguage,2,veryWell,Main language is not English (English or Welsh in Wales): Can speak English very well
ukLanguage,3,well,Main language is not English (English or Welsh in Wales): Can speak English well
ukLanguage,4,notWell,Main language is not English (English or Welsh in Wales): Cannot speak English well
ukLanguage,5,none,Main language is not English (English or Welsh in Wales): Cannot speak English
nationalIdentity,-8,N/A,Does not apply
nationalIdentity,1,British,British only identity
nationalIdentity,2,English,English only identity
nationalIdentity,3,EnglishAndBritish,English and British only identity
nationalIdentity,4,Welsh,Welsh only identity
nationalIdentity,5,WelshAndBritish,Welsh and British only identity
nationalIdentity,6,Scottish,Scottish only identity
nationalIdentity,7,ScottishAndBritish,Scottish and British only identity
nationalIdentity,8,NorthernIrish,Northern Irish only identity
nationalIdentity,9,NorthernIrishAndBritish,Northern Irish and British only identity
nationalIdentity,10,Cornish,Cornish only identity
nationalIdentity,11,CornishAndBritish,Cornish and British only identity
nationalIdentity,12,UK,Any other combination of only UK identities
nationalIdentity,13,Irish,Irish only identity
nationalIdentity,14,IrishAndUK,Irish and at least one UK identity
nationalIdentity,15,other,Other identity only
nationalIdentity,16,otherAndUK,Other identity and at least one UK identity
nationalIdentityDetailed,-8,N/A,Does not apply
nationalIdentityDetailed,1,UK1,UK identity: British only identity
nationalIdentityDetailed,2,UK2,UK identity: English only identity
nationalIdentityDetailed,3,UK3,UK identity: English and British only identity
nationalIdentityDetailed,4,UK4,UK identity: Welsh only identity
nationalIdentityDetailed,5,UK5,UK identity: Welsh and British only identity
nationalIdentityDetailed,6,UK6,UK identity: Scottish only identity
nationalIdentityDetailed,7,UK7,UK identity: Scottish and British only identity
nationalIdentityDetailed,8,UK8,UK identity: Northern Irish only identity
nationalIdentityDetailed,9,UK9,UK identity: Northern Irish and British only identity
nationalIdentityDetailed,10,UK10,UK identity: Cornish only identity
nationalIdentityDetailed,11,UK11,UK identity: Cornish and British only identity
nationalIdentityDetailed,12,UK12,UK identity: Any other combination of UK identities (UK only)
nationalIdentityDetailed,13,UK13,UK identity: Other identity and at least one UK identity
nationalIdentityDetailed,14,other14,Other identity only: Guernsey Islander
nationalIdentityDetailed,15,other15,Other identity only: Jersey Islander
nationalIdentityDetailed,16,other16,Other identity only: Isle of Man (Manx)
nationalIdentityDetailed,17,other17,Other identity only: Channel Islander not otherwise specified
nationalIdentityDetailed,18,other18,Other identity only: Irish only identity
nationalIdentityDetailed,19,other19,Other identity only: Irish and at least one UK identity
nationalIdentityDetailed,20,other20,Other identity only: European: EU countries: French
nationalIdentityDetailed,21,other21,Other identity only: European: EU countries: German
nationalIdentityDetailed,22,other22,Other identity only: European: EU countries: Italian
nationalIdentityDetailed,23,other23,Other identity only: European: EU countries: Portuguese
nationalIdentityDetailed,24,other24,Other identity only: European: EU countries: Spanish (including Canary Islander)
nationalIdentityDetailed,25,other25,Other identity only: European: EU countries: Other member countries in March 2001
nationalIdentityDetailed,26,other26,Other identity only: European: EU countries: Lithuanian
nationalIdentityDetailed,27,other27,Other identity only: European: EU countries: Polish
nationalIdentityDetailed,28,other28,Other identity only: European: EU countries: Romanian
nationalIdentityDetailed,29,other29,Other identity only: European: EU countries: Other member countries
nationalIdentityDetailed,30,other30,Other identity only: European: Non-EU countries: Turkish
nationalIdentityDetailed,31,other31,Other identity only: European: Non-EU countries: Other European
nationalIdentityDetailed,32,other32,Other identity only: African: North African
nationalIdentityDetailed,33,other33,Other identity only: African: Central and Western African: Ghanaian
nationalIdentityDetailed,34,other34,Other identity only: African: Central and Western African: Nigerian
nationalIdentityDetailed,35,other35,Other identity only: African: Central and Western African: Other Central and Western African
nationalIdentityDetailed,36,other36,Other identity only: African: South and Eastern African: Kenyan
nationalIdentityDetailed,37,other37,Other identity only: African: South and Eastern African: Somali
nationalIdentityDetailed,38,other38,Other identity only: African: South and Eastern African: South African
nationalIdentityDetailed,39,other39,Other identity only: African: South and Eastern African: Zimbabwean
nationalIdentityDetailed,40,other40,Other identity only: African: South and Eastern African: Other South and Eastern African
nationalIdentityDetailed,41,other41,Other identity only: Middle Eastern and Asian: Middle Eastern: Kurdish
nationalIdentityDetailed,42,other42,Other identity only: Middle Eastern and Asian: Middle Eastern: Iranian
nationalIdentityDetailed,43,other43,Other identity only: Middle Eastern and Asian: Middle Eastern: Iraqi
nationalIdentityDetailed,44,other44,Other identity only: Middle Eastern and Asian: Middle Eastern: Other Middle Eastern
nationalIdentityDetailed,45,other45,Other identity only: Middle Eastern and Asian: Eastern Asian: Chinese
nationalIdentityDetailed,46,other46,Other identity only: Middle Eastern and Asian: Eastern Asian: Hong Kong Chinese
nationalIdentityDetailed,47,other47,Other identity only: Middle Eastern and Asian: Eastern Asian: Japanese
nationalIdentityDetailed,48,other48,Other identity only: Middle Eastern and Asian: Eastern Asian: Other Eastern Asian
nationalIdentityDetailed,49,other49,Other identity only: Middle Eastern and Asian: Southern Asian: Afghan
nationalIdentityDetailed,50,other50,Other identity only: Middle Eastern and Asian: Southern Asian: Bangladeshi
nationalIdentityDetailed,51,other51,Other identity only: Middle Eastern and Asian: Southern Asian: Indian
nationalIdentityDetailed,52,other52,Other identity only: Middle Eastern and Asian: Southern Asian: Pakistani
nationalIdentityDetailed,53,other53,Other identity only: Middle Eastern and Asian: Southern Asian: Sri Lankan
nationalIdentityDetailed,54,other54,Other identity only: Middle Eastern and Asian: Southern Asian: Other Southern Asian
nationalIdentityDetailed,55,other55,Other identity only: Middle Eastern and Asian: South-East Asian: Filipino
nationalIdentityDetailed,56,other56,Other identity only: Middle Eastern and Asian: South-East Asian: Malaysian
nationalIdentityDetailed,57,other57,Other identity only: Middle Eastern and Asian: South-East Asian: Singaporean
nationalIdentityDetailed,58,other58,Other identity only: Middle Eastern and Asian: South-East Asian: Other South-East Asian
nationalIdentityDetailed,59,other59,Other identity only: Middle Eastern and Asian: Central Asian
nationalIdentityDetailed,60,other60,Other identity only: Middle Eastern and Asian: Asian not otherwise specified
nationalIdentityDetailed,61,other61,Other identity only: American and Caribbean: North American: Canadian
nationalIdentityDetailed,62,other62,Other identity only: American and Caribbean: North American: US Citizen
nationalIdentityDetailed,63,other63,Other identity only: American and Caribbean: North American: Other North American
nationalIdentityDetailed,64,other64,Other identity only: American and Caribbean: Central American
nationalIdentityDetailed,65,other65,Other identity only: American and Caribbean: South American
nationalIdentityDetailed,66,other66,Other identity only: American and Caribbean: Caribbean: Jamaican
nationalIdentityDetailed,67,other67,Other identity only: American and Caribbean: Caribbean: Other Caribbean
nationalIdentityDetailed,68,other68,Other identity only: Antarctican and Oceanian: Australasian: Australian
nationalIdentityDetailed,69,other69,Other identity only: Antarctican and Oceanian: Australasian: New Zealander
nationalIdentityDetailed,70,other70,Other identity only: Antarctican and Oceanian: Australasian: Other Australasian
nationalIdentityDetailed,71,other71,Other identity only: Antarctican and Oceanian: Other Oceanian
nationalIdentityDetailed,72,other72,Other identity only: Other
religion,-8,N/A,Does not apply
religion,1,none,No religion
religion,2,Christian,Christian
religion,3,Buddhist,Buddhist
religion,4,Hindu,Hindu
religion,5,Jewish,Jewish
religion,6,Muslim,Muslim
religion,7,Sikh,Sikh
religion,8,other,Other religion
religion,9,noAnswer,Not answered
religionDetailed,-8,N/A,Does not apply
religionDetailed,1,Christian,Christian
religionDetailed,2,Buddhist,Buddhist
religionDetailed,3,Hindu,Hindu
religionDetailed,4,Jewish,Jewish
religionDetailed,5,Muslim,Muslim
religionDetailed,6,Sikh,Sikh
religionDetailed,7,Alevi,Other religion: Alevi
religionDetailed,8,Agnostic,No religion: Agnostic
religionDetailed,9,Atheist,No religion: Atheist
religionDetailed,10,freeThinker,No religion: Free Thinker
religionDetailed,11,Humanist,No religion: Humanist
religionDetailed,12,None,No religion: No religion
religionDetailed,13,Realist,No religion: Realist
religionDetailed,14,Animism,Other religion: Animism
religionDetailed,15,Bahai,Other religion: Baha'i
religionDetailed,16,believeInGod,Other religion: Believe in God
religionDetailed,17,BrahmaKumari,Other religion: Brahma Kumari
religionDetailed,18,Chinese,Other religion: Chinese Religion
religionDetailed,19,ChurchOfAllReligion,Other religion: Church of All Religion
religionDetailed,20,Confucianist,Other religion: Confucianist
religionDetailed,21,Deist,Other religion: Deist
religionDetailed,22,Druid,Other religion: Druid
religionDetailed,23,Druze,Other religion: Druze
religionDetailed,24,Eckankar,Other religion: Eckankar
religionDetailed,25,Heathen,Other religion: Heathen
religionDetailed,26,Jain,Other religion: Jain
religionDetailed,27,mixed,Other religion: Mixed Religion
religionDetailed,28,Mysticism,Other religion: Mysticism
religionDetailed,29,nativeAmerican,Other religion: Native American Church
religionDetailed,30,NewAge,Other religion: New Age
religionDetailed,31,Occult,Other religion: Occult
religionDetailed,32,other,Other religion: Other religions
religionDetailed,33,own,Other religion: Own Belief System
religionDetailed,34,Pagan,Other religion: Pagan
religionDetailed,35,Pantheism,Other religion: Pantheism
religionDetailed,36,Rastafarian,Other religion: Rastafarian
religionDetailed,37,Ravidassia,Other religion: Ravidassia
religionDetailed,38,Reconstructionist,Other religion: Reconstructionist
religionDetailed,39,Satanism,Other religion: Satanism
religionDetailed,40,Scientology,Other religion: Scientology
religionDetailed,41,Shamanism,Other religion: Shamanism
religionDetailed,42,Shintoism,Other religion: Shintoism
religionDetailed,43,Spiritual,Other religion: Spiritual
religionDetailed,44,Spiritualist,Other religion: Spiritualist
religionDetailed,45,Taoist,Other religion: Taoist
religionDetailed,46,Theism,Other religion: Theism
religionDetailed,47,Thelemite,Other religion: Thelemite
religionDetailed,48,tradAfrican,Other religion: Traditional African Religion
religionDetailed,49,Unification,Other religion: Unification Church
religionDetailed,50,Universalist,Other religion: Universalist
religionDetailed,51,Valmiki,Other religion: Valmiki
religionDetailed,52,Vodun,Other religion: Vodun
religionDetailed,53,Wicca,Other religion: Wicca
religionDetailed,54,Witchcraft,Other religion: Witchcraft
religionDetailed,55,Yazidi,Other religion: Yazidi
religionDetailed,56,Zoroastrian,Other religion: Zoroastrian
religionDetailed,57,notStated,Religion not stated
religiousDiversity,-8,N/A,Does not apply
religiousDiversity,1,single,One-person household
religiousDiversity,2,notStated,Multi-person household: No people stated their religion
religiousDiversity,3,same,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion)
religiousDiversity,4,none,Multi-person household: No religion (household may include people who did not state their religion)
religiousDiversity,5,sameAndNone,Multi-person household: Same religion and no religion (household may include people who did not state their religion)
religiousDiversity,6,2plus,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion)
accommodation,1,detached,Detached
accommodation,2,semiDetached,Semi-detached
accommodation,3,terraced,Terraced
accommodation,4,flats,In a purpose-built block of flats or tenement
accommodation,5,sharedHouse,"Part of a converted or shared house, including bedsits"
accommodation,6,conversion,"Part of another converted building, for example, former school, church or warehouse"
accommodation,7,commercial,"In a commercial building, for example, in an office building, hotel or over a shop"
accommodation,8,caravan,A caravan or other mobile or temporary structure
vehicle,-8,N/A,Does not apply
vehicle,0,v0,No cars or vans in household
vehicle,1,v1,1 car or van in household
vehicle,2,v2,2 cars or vans in household
vehicle,3,v3plus,3 or more cars or vans in household
heating,-9,N/A,Does not apply
heating,1,none,No central heating
heating,2,mainsGas,Mains gas only
heating,3,bottledGas,Tank or bottled gas only
heating,4,elec,Electric only
heating,5,oil,Oil only
heating,6,wood,Wood only
heating,7,solid,Solid fuel only
heating,8,renewable,Renewable energy only
heating,9,communal,District or communal heat networks only
heating,10,other,Other central heating only
heating,11,2plusNonRenewable,Two or more types of central heating (not including renewable energy)
heating,12,2plusRenewable,Two or more types of central heating (including renewable energy)
ageSexCommunal,1,m0_15,Resident: Male: Aged 0 to 15 years
ageSexCommunal,2,m16_24,Resident: Male: Aged 16 to 24 years
ageSexCommunal,3,m25_34,Resident: Male: Aged 25 to 34 years
ageSexCommunal,4,m35_49,Resident: Male: Aged 35 to 49 years
ageSexCommunal,5,m50_64,Resident: Male: Aged 50 to 64 years
ageSexCommunal,6,m65_74,Resident: Male: Aged 65 to 74 years
ageSexCommunal,7,m75_84,Resident: Male: Aged 75 to 84 years
ageSexCommunal,8,m85plus,Resident: Male: Aged 85 years and over
ageSexCommunal,9,f0_15,Resident: Female: Aged 0 to 15 years
ageSexCommunal,10,f16_24,Resident: Female: Aged 16 to 24 years
ageSexCommunal,11,f25_34,Resident: Female: Aged 25 to 34 years
ageSexCommunal,12,f35_49,Resident: Female: Aged 35 to 49 years
ageSexCommunal,13,f50_64,Resident: Female: Aged 50 to 64 years
ageSexCommunal,14,f65_74,Resident: Female: Aged 65 to 74 years
ageSexCommunal,15,f75_84,Resident: Female: Aged 75 to 84 years
ageSexCommunal,16,f85plus,Resident: Female: Aged 85 years and over
ageSexCommunal,17,staff,Staff or owner
ageSexCommunal,18,family,Family member or partner of staff or owner
ageSexCommunal,19,temp,Staying temporarily (no usual UK address)
communalType,-8,N/A,Establishment not stated
communalType,1,nhsGenHospital,Medical and care establishment: NHS: General hospital
communalType,2,nhsMenHospital,Medical and care establishment: NHS: Mental health hospital or unit (including secure units)
communalType,3,nhsHospital,Medical and care establishment: NHS: Other hospital
communalType,4,laChildrensHome,Medical and care establishment: Local Authority: Children's home (including secure units)
communalType,5,laNursingHome,Medical and care establishment: Local Authority: Care home with nursing
communalType,6,laCareHome,Medical and care establishment: Local Authority: Care home without nursing
communalType,7,laHome,Medical and care establishment: Local Authority: Other home
communalType,8,social,Medical and care establishment: Registered Social Landlord or Housing Association: Home or hostel
communalType,9,nursingHome,Medical and care establishment: Other: Care home with nursing
communalType,10,careHome,Medical and care establishment: Other: Care home without nursing
communalType,11,childrensHome,Medical and care establishment: Other: Children's home (including secure units)
communalType,12,menHospital,Medical and care establishment: Other: Mental health hospital or unit (including secure units)
communalType,13,hospital,Medical and care establishment: Other: Other hospital
communalType,14,otherCare,Medical and care establishment: Other: Other establishment
communalType,15,defence,Other establishment: Defence
communalType,16,prison,Other establishment: Prison service
communalType,17,approved,Other establishment: Approved premises (probation or bail hostel)
communalType,18,detention,Other establishment: Detention centres and other detention
communalType,19,education,Other establishment: Education
communalType,20,hotel,"Other establishment: Hotel, guest house, B&B or youth hostel"
communalType,21,shelter,Other establishment: Hostel or temporary shelter for the homeless
communalType,22,holiday,Other establishment: Holiday accommodation
communalType,23,temp,Other establishment: Other travel or temporary accommodation
communalType,24,religious,Other establishment: Religious
communalType,25,otherStaff,Other establishment: Staff or worker accommodation or Other
bedrooms,-9,N/A,Does not apply
bedrooms,1,b1,1 bedroom
bedrooms,2,b2,2 bedrooms
bedrooms,3,b3,3 bedrooms
bedrooms,4,b4plus,4 or more bedrooms
bedroomOccupancy,-8,N/A,Does not apply
